beds,$sqft,location,address,price,baths,sqft,days
4,$217,Lake Oswego,1245 Chandler Rd,"$711,750",4,"3,278",729 days
3,$259,Lake Oswego,2130 Wembley Park Rd,"$399,900",1.5,"1,544",736 days
3,$360,Forest Hills,1168 Andrews Rd,"$668,000",3,"1,851",739 days
4,$273,Lake Oswego,13648 Goodall Rd Lot 1,"$1,425,000",5,"5,206",747 days
5,$163,Red Fox Hills,880 Boca Ratan Dr,"$387,500",3,"2,364",751 days
2,$250,First Addition,628 1st St,"$445,000",2.5,"1,776",753 days
2,$269,First Addition,524 2nd St,"$417,000",2.5,"1,547",760 days
4,$178,First Addition,616 Atwater Rd,"$990,000",4,"5,558",761 days
3,$237,First Addition,1012 Andrews Rd,"$510,000",2,"2,143",764 days
4,$304,Forest Hills,688 Iron Mountain Blvd,"$1,260,000",4.5,"4,143",767 days
4,$233,Lake Oswego,13911 Shireva Dr,"$428,000",2,"1,835",774 days
3,$284,Evergreen,340 8th St,"$580,000",2,"2,038",778 days
3,$162,Alto Park/Lake Oswego,12731 19th Ave,"$327,500",2,"2,020",778 days
4,$152,Country Commons,13300 Fox Run,"$684,500",2.5,"4,484",780 days
4,$248,1st Addition,752 8th St,"$1,130,000",3.5,"4,550",785 days
4,$185,Lake Oswego,13531 Fielding Rd,"$845,000",3.5,"4,566",786 days
4,$245,Forest Hills,14110 Goodall Rd,"$970,000",3.5,"3,945",793 days
4,$158,Red Fox Hills,1290 Hide A Way Ln,"$400,000",3,"2,530",794 days
1,$199,Lake Oswego,13060 Elk Rock Rd Unit A,"$100,000",1,502,794 days
3,$227,First Addition,566 5th St,"$540,000",2,"2,377",799 days
4,$308,Lake Oswego,832 Hoodview Ln,"$760,000",2,"2,462",799 days
2,$184,Oswego Pointe,5059 Foothills Dr #105,"$182,500",2,991,799 days
3,$241,Lake Oswego,615 4th St,"$890,000",2.5,"3,691",806 days
5,$185,Lake Oswego,13555 Fielding Rd,"$680,000",3.5,"3,656",806 days
3,$239,Lake Oswego,14150 Goodall Rd,"$374,900",2,"1,565",807 days
3,$195,Red Fox HIlls,1728 Boca Ratan Dr,"$272,000",2,"1,393",808 days
2,$191,Oswego Pointe Village Condos,5052 Foothills Dr Unit E,"$240,000",2,"1,252",809 days
3,$240,Lake Oswego,1221 Forest Meadows Way,"$1,000,000",3,"4,150",809 days
4,$147,Lake Oswego,880 Woodway Ct,"$513,000",3,"3,478",813 days
3,$151,COUNTRY CLUB,490 Boca Ratan Dr,"$285,000",2,"1,887",814 days
4,$259,Lake Oswego,14005 Goodall Rd,"$1,250,000",3.5,"4,825",820 days
3,$184,Red Fox Hills,1277 Rockinghorse Ln,"$475,000",2.5,"2,577",821 days
4,$194,Lake Oswego,641 8th St,"$449,950",2,"2,319",824 days
4,$319,Lake Oswego,13636 Goodall Rd Lot 2,"$1,399,000",4.5,"4,380",827 days
2,$196,Lake Oswego,1694 Bonniebrae Dr,"$170,000",1,864,830 days
5,$221,Lake Oswego,624 Atwater Rd,"$990,000",3.5,"4,463",835 days
3,$327,First Addition,752 E Ave,"$922,500",3,"2,818",836 days
2,$250,Lake Oswego,635 1st St,"$275,000",2.5,"1,100",837 days
3,$323,First Addition,620 9th St,"$899,000",3.5,"2,780",841 days
4,$580,Lake Oswego,1098 Chandler Rd,"$2,145,000",3.5,"3,696",843 days
3,$167,Red Fox Hills Townhomes,1501 Boca Ratan Dr,"$292,000",2.5,"1,739",844 days
2,$233,First Addition,639 2nd St,"$340,000",2,"1,457",845 days
4,$314,Lake Oswego,931 Atwater Rd,"$1,500,000",4.5,"4,764",845 days
4,$230,Lake Oswego,13520 Knaus Rd,"$610,000",3,"2,641",847 days
4,$309,First Addition,881 C Ave,"$969,000",2.5,"3,128",849 days
3,$275,Lake Oswego,1287 Rockinghorse Ln,"$463,900",2,"1,686",856 days
5,$219,Lake Oswego,13310 Atwater Ln,"$1,249,000",4,"5,697",857 days
3,$205,Portland,12724 SW 22nd Ave,"$350,000",1,"1,702",865 days
4,$249,Goodall Rd,14070 Goodall Rd,"$1,129,000",4,"4,525",866 days
3,$277,First Addition,720 8th St,"$415,000",2,"1,498",871 days
4,$142,Lake Oswego,26 SW Briarwood Rd,"$365,000",3,"2,554",873 days
4,$205,Lake Oswego,13537 Fielding Rd,"$860,000",3.5,"4,188",883 days
4,$313,First Addition,878 7th St,"$897,000",3.5,"2,858",890 days
3,$255,Forest Highlands 14791,623 Atwater Rd,"$512,500",2.5,"2,009",891 days
2,$272,First Addition,572 2nd St #3,"$379,900",2.5,"1,394",899 days
4,$246,Alto Park Estates,12834 Alto Park Rd,"$979,000",4,"3,973",904 days
2,$379,Lake Oswego,12820 Alto Park Rd,"$430,000",1,"1,132",911 days
2,$177,Alto Park Arces,12840 Alto Park Rd,"$645,000",2.5,"3,632",911 days
4,$181,Forest Hills,14136 Heathrow Ln,"$535,000",2.5,"2,955",915 days
4,$228,First Addition,853 D Ave,"$1,075,000",3.5,"4,710",919 days
4,$359,First Addition,425 G Ave,"$1,400,000",3,"3,890",920 days
4,$314,First Addition,615 9th St,"$875,000",2.5,"2,782",922 days
3,$161,Lake Oswego,1120 Boca Ratan Dr,"$260,000",2,"1,611",927 days
5,$162,Forest Hills,2070 Wembley Park Rd,"$802,000",4.5,"4,935",928 days
,,Lake Oswego,937 Atwater Rd,"$699,500",,,932 days
3,$166,FIRST ADDITION,1125 C Ave,"$425,000",1.5,"2,558",953 days
4,$223,Lake Oswego,14120 SW Redwood Ct,"$617,000",2.5,"2,755",953 days
3,$168,Red Fox Hills,1561 Bonniebrae Dr,"$234,900",2,"1,393",956 days
4,$215,The Uplands,14530 Uplands Dr,"$881,000",3.5,"4,080",964 days
3,$308,first addition,735 7th St,"$908,000",3.5,"2,945",974 days
2,$231,Lake Oswego,340 4th St,"$399,900",2.5,"1,731",975 days
3,$166,Red Fox Hills,1261 Boca Ratan Dr,"$267,500",2,"1,611",976 days
3,$309,First Addition,830 4th St,"$523,500",2,"1,690",983 days
3,$170,Lake Oswego,719 Timberline Dr,"$370,300",2.5,"2,176",990 days
4,$202,Lake Oswego,855 SW York Rd,"$435,000",3,"2,144",990 days
4,"$1,190",Goodall,12800 Goodall Rd,"$4,500,000",4,"3,780",990 days
4,$239,Forest Hills Acres,13052 Knaus Rd,"$725,000",3,"3,026",995 days
3,$133,Red Fox Hills 01,1484 Boca Ratan Dr,"$187,000",1.5,"1,403",999 days
4,$199,Red Fox Hills,720 SW Pebble Beach Ct,"$390,000",2.5,"1,957",1002 days
4,$151,Lake Oswego,622 Carrera Ln,"$825,000",4.5,"5,446",1002 days
